Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoplasmic Translation (GO:0002181)	4/101	1.1426628196960302E-5	0.0021710593574224574	0	0	34.149484536082475	388.60624892857675	RPS7;RPL22L1;MRPL13;RSL24D1
Mitochondrial Electron Transport, Cytochrome C to Oxygen (GO:0006123)	2/13	1.4602284933772086E-4	0.013872170687083482	0	0	139.5874125874126	1232.8007746388703	COX7B;COX7C
Translation (GO:0006412)	4/232	2.902373993838404E-4	0.01838170196097656	0	0	14.432748538011696	117.55201412291697	RPS7;RPL22L1;MRPL13;RSL24D1
Energy Derivation by Oxidation of Organic Compounds (GO:0015980)	2/40	0.0014265186232744749	0.06775963460553756	0	0	40.35222672064777	264.40870533107534	COX7B;COX7C
Macromolecule Biosynthetic Process (GO:0009059)	3/189	0.0022864565120016833	0.08688534745606397	0	0	12.765161290322581	77.6217804869564	RPS7;MRPL13;RSL24D1
Aerobic Electron Transport Chain (GO:0019646)	2/64	0.0036113504281690824	0.10104693882946092	0	0	24.70223325062035	138.9172944423598	COX7B;COX7C
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	2/65	0.003722781956874876	0.10104693882946092	0	0	24.308913308913308	135.96665713994742	COX7B;COX7C
Cellular Respiration (GO:0045333)	2/85	0.006280312461061223	0.10275940966987082	0	0	18.43280815569972	93.46052238220771	COX7B;COX7C
Positive Regulation of Intrinsic Apoptotic Signaling Pathway by P53 Class Mediator (GO:1902255)	1/5	0.006981040634233312	0.10275940966987082	0	0	184.88888888888889	917.8914803082985	RPS7
Negative Regulation of Nucleobase-Containing Compound Metabolic Process (GO:0045934)	1/5	0.006981040634233312	0.10275940966987082	0	0	184.88888888888889	917.8914803082985	SUB1
Internal Protein Amino Acid Acetylation (GO:0006475)	1/6	0.008371605061186147	0.10275940966987082	0	0	147.9037037037037	707.410051609059	HAT1
Positive Regulation of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031666)	1/7	0.009760292455613027	0.10275940966987082	0	0	123.24691358024691	570.5633183132499	LY96
Detection of Molecule of Bacterial Origin (GO:0032490)	1/7	0.009760292455613027	0.10275940966987082	0	0	123.24691358024691	570.5633183132499	LY96
Aminoglycoside Antibiotic Metabolic Process (GO:0030647)	1/8	0.011147105113416074	0.10275940966987082	0	0	105.63492063492063	474.9953903533844	AKR1C3
Daunorubicin Metabolic Process (GO:0044597)	1/8	0.011147105113416074	0.10275940966987082	0	0	105.63492063492063	474.9953903533844	AKR1C3
Negative Regulation of Ubiquitin Protein Ligase Activity (GO:1904667)	1/8	0.011147105113416074	0.10275940966987082	0	0	105.63492063492063	474.9953903533844	RPS7
Regulation of Intrinsic Apoptotic Signaling Pathway by P53 Class Mediator (GO:1902253)	1/8	0.011147105113416074	0.10275940966987082	0	0	105.63492063492063	474.9953903533844	RPS7
Ribonucleoprotein Complex Biogenesis (GO:0022613)	2/120	0.012187867959303668	0.10275940966987082	0	0	12.942633637548893	57.04225368376499	RPS7;RSL24D1
Doxorubicin Metabolic Process (GO:0044598)	1/9	0.012532045363447937	0.10275940966987082	0	0	92.42592592592592	404.7762265532091	AKR1C3
Polyketide Metabolic Process (GO:0030638)	1/9	0.012532045363447937	0.10275940966987082	0	0	92.42592592592592	404.7762265532091	AKR1C3
Regulation of Ketone Biosynthetic Process (GO:0010566)	1/9	0.012532045363447937	0.10275940966987082	0	0	92.42592592592592	404.7762265532091	AKR1C3
Progesterone Metabolic Process (GO:0042448)	1/9	0.012532045363447937	0.10275940966987082	0	0	92.42592592592592	404.7762265532091	AKR1C3
Negative Regulation of Macromolecule Metabolic Process (GO:0010605)	1/10	0.01391511556314784	0.10275940966987082	0	0	82.1522633744856	351.18281785053944	SUB1
Cellular Response to Prostaglandin Stimulus (GO:0071379)	1/10	0.01391511556314784	0.10275940966987082	0	0	82.1522633744856	351.18281785053944	AKR1C3
Response to Corticosteroid (GO:0031960)	1/10	0.01391511556314784	0.10275940966987082	0	0	82.1522633744856	351.18281785053944	AKR1C3
Negative Regulation of Exocytosis (GO:0045920)	1/11	0.015296318080509241	0.10275940966987082	0	0	73.93333333333334	309.05191525436794	C9ORF72
Negative Regulation of Ubiquitin-Protein Transferase Activity (GO:0051444)	1/11	0.015296318080509241	0.10275940966987082	0	0	73.93333333333334	309.05191525436794	RPS7
Primary Alcohol Catabolic Process (GO:0034310)	1/11	0.015296318080509241	0.10275940966987082	0	0	73.93333333333334	309.05191525436794	AKR1C3
Gene Expression (GO:0010467)	3/381	0.015790748053699313	0.10275940966987082	0	0	6.22031746031746	25.80393622746031	RPS7;MRPL13;RSL24D1
Negative Regulation of Amyloid Fibril Formation (GO:1905907)	1/12	0.01667565529767051	0.10275940966987082	0	0	67.20875420875421	275.1395602176083	PFDN4
Negative Regulation of Protein Metabolic Process (GO:0051248)	2/146	0.017669461393394724	0.10275940966987082	0	0	10.591880341880342	42.74795495992806	PFDN4;MRPL13
Tertiary Alcohol Metabolic Process (GO:1902644)	1/13	0.01805312960024282	0.10275940966987082	0	0	61.60493827160494	247.30909578576168	AKR1C3
Regulation of Actin Filament Organization (GO:0110053)	1/14	0.01942874337764288	0.10275940966987082	0	0	56.863247863247864	224.09815604285276	C9ORF72
Extrinsic Apoptotic Signaling Pathway in Absence of Ligand (GO:0097192)	1/14	0.01942874337764288	0.10275940966987082	0	0	56.863247863247864	224.09815604285276	BCL2A1
Retinal Metabolic Process (GO:0042574)	1/15	0.020802499021418883	0.10275940966987082	0	0	52.7989417989418	204.47351966705395	AKR1C3
Glycoside Metabolic Process (GO:0016137)	1/15	0.020802499021418883	0.10275940966987082	0	0	52.7989417989418	204.47351966705395	AKR1C3
Ribosome Biogenesis (GO:0042254)	2/161	0.021225726401515887	0.10275940966987082	0	0	9.585389453313981	36.92810897079292	RPS7;RSL24D1
