Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of Behavior (GO:0050795)	1/19	0.008519185800335128	0.07971602008020529	0	0	138.70138888888889	660.9723846479391	AIM2
Cellular Response to Interferon-Beta (GO:0035458)	1/22	0.009858412726117614	0.07971602008020529	0	0	118.86904761904762	549.107257058779	AIM2
Regulation of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033143)	1/24	0.010750337464808102	0.07971602008020529	0	0	108.52173913043478	491.90930693624915	KDM5D
Regulation of Gene Expression (GO:0010468)	3/1127	0.011600398484545539	0.07971602008020529	0	0	8.392793594306049	37.40429606415938	DDX3Y;KDM5D;UTY
Cellular Response to Xenobiotic Stimulus (GO:0071466)	1/26	0.011641548186931168	0.07971602008020529	0	0	99.83	444.5604442545611	AIM2
Response to Interferon-Beta (GO:0035456)	1/29	0.012977026524684581	0.07971602008020529	0	0	89.12053571428571	387.1908225092229	AIM2
Regulation of Androgen Receptor Signaling Pathway (GO:0060765)	1/29	0.012977026524684581	0.07971602008020529	0	0	89.12053571428571	387.1908225092229	KDM5D
Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209)	1/34	0.01519926045554118	0.08169602494853384	0	0	75.59848484848484	316.4936999007962	AIM2
Positive Regulation of Interleukin-1 Beta Production (GO:0032731)	1/56	0.024924355773343985	0.11288726507202855	0	0	45.30909090909091	167.27707721282206	AIM2
Positive Regulation of Interleukin-1 Production (GO:0032732)	1/63	0.028000752973758432	0.11288726507202855	0	0	40.17943548387097	143.66253094694912	AIM2
Negative Regulation of NF-kappaB Transcription Factor Activity (GO:0032088)	1/65	0.028878137576565443	0.11288726507202855	0	0	38.919921875	137.95829719612883	AIM2
Regulation of Interleukin-1 Beta Production (GO:0032651)	1/82	0.036307532410312794	0.12728996436110485	0	0	30.72530864197531	101.87682930785095	AIM2
Cellular Response to Tumor Necrosis Factor (GO:0071356)	1/87	0.03848301248126426	0.12728996436110485	0	0	28.93168604651163	94.2460773854509	AIM2
Positive Regulation of NF-kappaB Transcription Factor Activity (GO:0051092)	1/105	0.04627864319748114	0.13823728083015627	0	0	23.90264423076923	73.4546111134009	AIM2
Positive Regulation of Inflammatory Response (GO:0050729)	1/115	0.05058522944367222	0.13823728083015627	0	0	21.794956140350877	65.03823388729889	AIM2
Negative Regulation of DNA-binding Transcription Factor Activity (GO:0043433)	1/122	0.0535895462308214	0.13823728083015627	0	0	20.526859504132233	60.06982757695836	AIM2
Positive Regulation of Defense Response (GO:0031349)	1/130	0.05701270143021287	0.13823728083015627	0	0	19.246124031007753	55.13016053401799	AIM2
Circulatory System Development (GO:0072359)	1/132	0.057866768719600295	0.13823728083015627	0	0	18.950381679389313	54.00123507299854	UTY
Positive Regulation of Response to External Stimulus (GO:0032103)	1/163	0.0710171787187418	0.14142154284996958	0	0	15.300154320987655	40.4663603578683	AIM2
Regulation of Macromolecule Biosynthetic Process (GO:0010556)	1/170	0.07396394665817237	0.14142154284996958	0	0	14.661242603550296	38.180478283561825	UTY
Brain Development (GO:0007420)	1/170	0.07396394665817237	0.14142154284996958	0	0	14.661242603550296	38.180478283561825	AIM2
Heart Development (GO:0007507)	1/171	0.07438423453989036	0.14142154284996958	0	0	14.574264705882353	37.87139095819814	UTY
Positive Regulation of DNA-binding Transcription Factor Activity (GO:0051091)	1/174	0.07564408105928605	0.14142154284996958	0	0	14.31936416184971	36.968532753958556	AIM2
Macromolecule Biosynthetic Process (GO:0009059)	1/189	0.08192047921792463	0.14442931332718217	0	0	13.16688829787234	32.943637049750684	RPS4Y1
Defense Response to Virus (GO:0051607)	1/198	0.08566810855499336	0.14442931332718217	0	0	12.559644670050762	30.86249647975658	AIM2
Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558)	1/202	0.08732935224434271	0.14442931332718217	0	0	12.307213930348258	30.005832451399186	DDX3Y
Regulation of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0051896)	1/219	0.09435974648917313	0.15027663329757202	0	0	11.337729357798166	26.764305493233458	AIM2
Translation (GO:0006412)	1/232	0.09970340644401665	0.1504033966687988	0	0	10.692640692640692	24.65247587044531	RPS4Y1
Regulation of Inflammatory Response (GO:0050727)	1/249	0.10664897342116349	0.1504033966687988	0	0	9.951108870967742	22.27269586374381	AIM2
Cytokine-Mediated Signaling Pathway (GO:0019221)	1/255	0.10908895375032306	0.1504033966687988	0	0	9.713090551181102	21.520242224929532	AIM2
Inflammatory Response (GO:0006954)	1/261	0.11152300855070434	0.1504033966687988	0	0	9.486057692307693	20.80789857774248	AIM2
Chromatin Remodeling (GO:0006338)	1/262	0.11192810914887351	0.1504033966687988	0	0	9.449233716475096	20.692862707663533	KDM5D
Central Nervous System Development (GO:0007417)	1/288	0.12240326388245333	0.15480442887244844	0	0	8.581881533101045	18.025677846241557	AIM2
Cellular Response to Cytokine Stimulus (GO:0071345)	1/289	0.1228039517254824	0.15480442887244844	0	0	8.551649305555555	17.934228882554606	AIM2
Negative Regulation of Intracellular Signal Transduction (GO:1902532)	1/297	0.12600360489617896	0.15480442887244844	0	0	8.31714527027027	17.228507006165213	AIM2
Protein-Containing Complex Assembly (GO:0065003)	1/323	0.13633095431050063	0.15843867663112235	0	0	7.6354813664596275	15.214993599317198	AIM2
Chromatin Organization (GO:0006325)	1/323	0.13633095431050063	0.15843867663112235	0	0	7.6354813664596275	15.214993599317198	KDM5D
