Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ribosome	4/158	6.621752366469243E-5	0.0023838308519289276	0	0	21.448051948051948	206.3852830472527	RPS7;RPL22L1;MRPL13;RSL24D1
Coronavirus disease	3/232	0.004074767980983127	0.0667389602753982	0	0	10.345676855895196	56.931654216825976	RPS7;RPL22L1;RSL24D1
Cardiac muscle contraction	2/87	0.006569800929471807	0.0667389602753982	0	0	17.997285067873303	90.44124817200047	COX7B;COX7C
Huntington disease	3/306	0.008754447298512012	0.0667389602753982	0	0	7.7897029702970295	36.90911955272653	COX7B;COX7C;POLR2K
NF-kappa B signaling pathway	2/104	0.00926930003824975	0.0667389602753982	0	0	14.984917043740573	70.14510712467896	BCL2A1;LY96
Oxidative phosphorylation	2/133	0.014817474318661233	0.0889048459119674	0	0	11.650616559013505	49.071792250206045	COX7B;COX7C
Non-alcoholic fatty liver disease	2/155	0.019769817093186558	0.10167334505067373	0	0	9.964303670186023	39.095930855617496	COX7B;COX7C
Arginine biosynthesis	1/22	0.030366961903249945	0.12759550295679414	0	0	35.18694885361552	122.95727551819456	ARG1
Diabetic cardiomyopathy	2/203	0.032595563173641526	0.12759550295679414	0	0	7.566398775353999	25.90416470078925	COX7B;COX7C
Folate biosynthesis	1/26	0.03579185869121641	0.12759550295679414	0	0	29.551111111111112	98.40622903757162	AKR1C3
Thermogenesis	2/232	0.041559071234648776	0.12759550295679414	0	0	6.602675585284281	21.000730511957066	COX7B;COX7C
RNA polymerase	1/31	0.04253183431893138	0.12759550295679414	0	0	24.619753086419752	77.73693045847051	POLR2K
Parkinson disease	2/249	0.04719864973391115	0.13070395310929242	0	0	6.142946122703208	18.756810225555267	COX7B;COX7C
Prion disease	2/273	0.05560945391104101	0.14299573862839118	0	0	5.592108998013057	16.157851246348717	COX7B;COX7C
Arginine and proline metabolism	1/50	0.0677318256109869	0.15342690540691506	0	0	15.058956916099774	40.541710435272364	ARG1
Ovarian steroidogenesis	1/51	0.06904026952667622	0.15342690540691506	0	0	14.757037037037037	39.44652405205433	AKR1C3
Steroid hormone biosynthesis	1/61	0.08202768970411416	0.15342690540691506	0	0	12.291358024691357	30.736979461714654	AKR1C3
Arachidonic acid metabolism	1/61	0.08202768970411416	0.15342690540691506	0	0	12.291358024691357	30.736979461714654	AKR1C3
Cytosolic DNA-sensing pathway	1/63	0.08460412524523665	0.15342690540691506	0	0	11.893667861409797	29.37465085617291	POLR2K
Acute myeloid leukemia	1/67	0.08973609386120772	0.15342690540691506	0	0	11.170594837261504	26.93098833106541	BCL2A1
Amyotrophic lateral sclerosis	2/364	0.09161896974522192	0.15342690540691506	0	0	4.167020824479388	9.959667042979586	COX7B;COX7C
Alzheimer disease	2/369	0.0937608866375592	0.15342690540691506	0	0	4.109201425277719	9.726510579245152	COX7B;COX7C
Pertussis	1/76	0.10118178586647288	0.15837149092143582	0	0	9.82567901234568	22.509024314139115	LY96
Small cell lung cancer	1/92	0.121187906850021	0.18073525054383652	0	0	8.091575091575091	17.07656517303212	CKS2
Amoebiasis	1/102	0.13347293752000114	0.18073525054383652	0	0	7.286762009534287	14.674493305715684	ARG1
Toll-like receptor signaling pathway	1/104	0.1359099924104689	0.18073525054383652	0	0	7.144552319309601	14.258829118460973	LY96
C-type lectin receptor signaling pathway	1/104	0.1359099924104689	0.18073525054383652	0	0	7.144552319309601	14.258829118460973	CLEC4D
Pathways of neurodegeneration	2/475	0.14223764624891938	0.18073525054383652	0	0	3.171084729224264	6.184427194396125	COX7B;COX7C
Toxoplasmosis	1/112	0.14559228516031275	0.18073525054383652	0	0	6.6269602936269605	12.769788872193134	LY96
Apoptosis	1/142	0.180977622547355	0.217173147056826	0	0	5.209088521145259	8.904321569442898	BCL2A1
Alcoholism	1/186	0.23033153012087462	0.2583657086653251	0	0	3.9613613613613614	5.816211666758829	HAT1
Neutrophil extracellular trap formation	1/189	0.23359003388210683	0.2583657086653251	0	0	3.897557131599685	5.667779610083707	HAT1
Transcriptional misregulation in cancer	1/192	0.23683523294321468	0.2583657086653251	0	0	3.835757223191778	5.52498864537946	BCL2A1
Lipid and atherosclerosis	1/215	0.2612786470562261	0.2766479792360041	0	0	3.4195223260643823	4.589572852866724	LY96
Salmonella infection	1/249	0.2960345410422617	0.30449267078632625	0	0	2.9456391875746712	3.5856651333362244	LY96
Pathways in cancer	1/531	0.5295009420169383	0.5295009420169383	0	0	1.3586303284416492	0.863844790398984	CKS2
