#queryIndex	queryItem	stringId	preferredName	annotation
1	CLEC4D	9606.ENSP00000299665	CLEC4D	C-type lectin domain family 4 member D; A calcium-dependent lectin involved in innate recognition of pathogen-associated molecular patterns (PAMPs). Interacts with signaling adapter Fc receptor gamma chain/FCER1G, likely via CLEC4E, to form a functional complex in myeloid cells (By similarity). Binding of mycobacterial trehalose 6,6'-dimycolate (TDM) to this receptor complex leads to phosphorylation of the immunoreceptor tyrosine-based activation motif (ITAM) of FCER1G, triggering activation of SYK, CARD9 and NF-kappa-B, consequently driving maturation of antigen-presenting cells and s [...] 
2	C9orf72	9606.ENSP00000482753	C9orf72	Guanine nucleotide exchange C9orf72; Component of the C9orf72-SMCR8 complex, a complex that has guanine nucleotide exchange factor (GEF) activity and regulates autophagy. In the complex, C9orf72 and SMCR8 probably constitute the catalytic subunits that promote the exchange of GDP to GTP, converting inactive GDP-bound RAB8A and RAB39B into their active GTP- bound form, thereby promoting autophagosome maturation. The C9orf72-SMCR8 complex also acts as a regulator of autophagy initiation by interacting with the ATG1/ULK1 kinase complex and modulating its protein kinase activity. Positivel [...] 
3	RPS7	9606.ENSP00000495273	RPS7	40S ribosomal protein S7; Required for rRNA maturation.
4	COX7B	9606.ENSP00000497474	COX7B	Cytochrome c oxidase subunit 7B, mitochondrial; Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol- cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane [...] 
5	POLR2K	9606.ENSP00000342889	POLR2K	DNA-directed RNA polymerases I, II, and III subunit RPABC4; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Common component of RNA polymerases I, II and III which synthesize ribosomal RNA precursors, mRNA precursors and many functional non- coding RNAs, and a small RNAs, such as 5S rRNA and tRNAs, respectively.
6	POLR2K	9606.ENSP00000342889	POLR2K	DNA-directed RNA polymerases I, II, and III subunit RPABC4; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Common component of RNA polymerases I, II and III which synthesize ribosomal RNA precursors, mRNA precursors and many functional non- coding RNAs, and a small RNAs, such as 5S rRNA and tRNAs, respectively.
7	HAT1	9606.ENSP00000264108	HAT1	Histone acetyltransferase type B catalytic subunit; Acetylates soluble but not nucleosomal histone H4 at 'Lys-5' (H4K5ac) and 'Lys-12' (H4K12ac) and, to a lesser extent, acetylates histone H2A at 'Lys-5' (H2AK5ac). Has intrinsic substrate specificity that modifies lysine in recognition sequence GXGKXG. May be involved in nucleosome assembly during DNA replication and repair as part of the histone H3.1 and H3.3 complexes. May play a role in DNA repair in response to free radical damage. Belongs to the HAT1 family.
8	CKS2	9606.ENSP00000364976	CKS2	Cyclin-dependent kinases regulatory subunit 2; Binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function.
9	S100P	9606.ENSP00000296370	S100P	Protein S100-P; May function as calcium sensor and contribute to cellular calcium signaling. In a calcium-dependent manner, functions by interacting with other proteins, such as EZR and PPP5C, and indirectly plays a role in physiological processes like the formation of microvilli in epithelial cells. May stimulate cell proliferation in an autocrine manner via activation of the receptor for activated glycation end products (RAGE); Belongs to the S-100 family.
10	PFDN4	9606.ENSP00000360473	PFDN4	Prefoldin subunit 4; Binds specifically to cytosolic chaperonin (c-CPN) and transfers target proteins to it. Binds to nascent polypeptide chain and promotes folding in an environment in which there are many competing pathways for nonnative proteins; Belongs to the prefoldin subunit beta family.
11	BCL2A1	9606.ENSP00000267953	BCL2A1	Bcl-2-related protein A1; Retards apoptosis induced by IL-3 deprivation. May function in the response of hemopoietic cells to external signals and in maintaining endothelial survival during infection (By similarity). Can inhibit apoptosis induced by serum starvation in the mammary epithelial cell line HC11 (By similarity).
12	ARG1	9606.ENSP00000349446	ARG1	Arginase-1; Key element of the urea cycle converting L-arginine to urea and L-ornithine, which is further metabolized into metabolites proline and polyamides that drive collagen synthesis and bioenergetic pathways critical for cell proliferation, respectively; the urea cycle takes place primarily in the liver and, to a lesser extent, in the kidneys. Belongs to the arginase family.
13	LY96	9606.ENSP00000284818	LY96	Lymphocyte antigen 96; Binds bacterial lipopolysaccharide (LPS). Cooperates with TLR4 in the innate immune response to bacterial lipopolysaccharide (LPS), and with TLR2 in the response to cell wall components from Gram-positive and Gram-negative bacteria. Enhances TLR4-dependent activation of NF-kappa-B. Cells expressing both LY96 and TLR4, but not TLR4 alone, respond to LPS.
14	TFEC	9606.ENSP00000265440	TFEC	Transcription factor EC; Transcriptional regulator that acts as a repressor or an activator. Acts as a transcriptional repressor on minimal promoter containing element F (that includes an E-box sequence). Binds to element F in an E-box sequence-specific manner. Acts as a transcriptional transactivator on the proximal promoter region of the tartrate-resistant acid phosphatase (TRAP) E-box containing promoter (By similarity). Collaborates with MITF in target gene activation (By similarity). Acts as a transcriptional repressor on minimal promoter containing mu E3 enhancer sequence (By sim [...] 
15	AKR1C3	9606.ENSP00000369927	AKR1C3	Aldo-keto reductase family 1 member C3; Catalyzes the conversion of aldehydes and ketones to alcohols. Catalyzes the reduction of prostaglandin (PG) D2, PGH2 and phenanthrenequinone (PQ) and the oxidation of 9-alpha,11-beta-PGF2 to PGD2. Functions as a bi-directional 3-alpha-, 17-beta- and 20-alpha HSD. Can interconvert active androgens, estrogens and progestins with their cognate inactive metabolites. Preferentially transforms androstenedione (4-dione) to testosterone; Belongs to the aldo/keto reductase family.
16	CETN3	9606.ENSP00000428259	CETN3	Centrin-3; Plays a fundamental role in microtubule-organizing center structure and function.
17	COX7C	9606.ENSP00000425759	COX7C	Cytochrome c oxidase subunit 7C, mitochondrial; Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol- cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane [...] 
